timestamp,query,volume,related_top,related_rising
2026-09-24T09:01:12.296303,ülke,10 B+,"ülke güncel, ülke son dakika",
2026-09-24T09:01:12.797191,otomobil,10 B+,"otomobil güncel, otomobil son dakika",
2026-09-24T09:01:13.297989,euro banknotları,5 B+,"euro banknotları güncel, euro banknotları son dakika",
2026-09-24T09:01:13.798353,kazı kazan,10 B+,"kazı kazan güncel, kazı kazan son dakika",
2026-09-24T09:01:14.299135,otoyol,5 B+,"otoyol güncel, otoyol son dakika",
2026-09-24T09:01:14.800012,husiler,2 B+,"husiler son dakika, husiler güncel",
2026-09-24T09:01:15.300317,keçiören belediye başkanı,2 B+,"keçiören belediye başkanı son dakika, keçiören belediye başkanı güncel",
2026-09-24T09:01:15.801249,çarşamba,2 B+,"çarşamba son dakika, çarşamba güncel",
2026-09-24T09:01:16.302192,mekke ortak savunma antlaşması,2 B+,"mekke ortak savunma antlaşması son dakika, mekke ortak savunma antlaşması güncel",
2026-09-24T09:01:16.803206,dilay özdemir,1 B+,"dilay özdemir son dakika, dilay özdemir güncel",
2026-09-24T09:01:17.304064,konya hava durumu,2 B+,"konya hava durumu güncel, konya hava durumu son dakika",
2026-09-24T09:01:17.804954,aliye uzunatağan,2 B+,"aliye uzunatağan son dakika, aliye uzunatağan güncel",
2026-09-24T09:01:18.305487,mansur yavaş istifa,20 B+,"mansur yavaş istifa güncel, mansur yavaş istifa son dakika",
2026-09-24T09:01:18.806392,koyun,1 B+,"koyun son dakika, koyun güncel",
2026-09-24T09:01:19.307312,kayseri hava durumu,2 B+,"kayseri hava durumu son dakika, kayseri hava durumu güncel",
