timestamp,query,volume,related_top,related_rising
2026-09-08T00:01:34.524061,göztepe - gaziantep fk,50 B+,"göztepe - gaziantep fk son dakika, göztepe - gaziantep fk güncel",
2026-09-08T00:01:35.024400,rizespor - alanyaspor,20 B+,"rizespor - alanyaspor son dakika, rizespor - alanyaspor güncel",
2026-09-08T00:01:35.525340,nuri aslan,20 B+,"nuri aslan güncel, nuri aslan son dakika",
2026-09-08T00:01:36.026341,ilkay gündoğan,10 B+,"ilkay gündoğan son dakika, ilkay gündoğan güncel",
2026-09-08T00:01:36.527302,ekmek,5 B+,"ekmek güncel, ekmek son dakika",
2026-09-08T00:01:37.028327,mehmet selim imamoğlu,5 B+,"mehmet selim imamoğlu güncel, mehmet selim imamoğlu son dakika",
2026-09-08T00:01:37.529431,kyk yurt sonuçları,50 B+,"kyk yurt sonuçları güncel, kyk yurt sonuçları son dakika",
2026-09-08T00:01:38.030518,evlilik güzeldir,5 B+,"evlilik güzeldir son dakika, evlilik güzeldir güncel",
2026-09-08T00:01:38.531389,inek,5 B+,"inek güncel, inek son dakika",
2026-09-08T00:01:39.032463,banka,5 B+,"banka son dakika, banka güncel",
2026-09-08T00:01:39.533485,gemini,20 B+,"gemini güncel, gemini son dakika",
2026-09-08T00:01:40.034519,rodrigo becao,2 B+,"rodrigo becao güncel, rodrigo becao son dakika",
2026-09-08T00:01:40.535387,chatgpt 80 ler,5 B+,"chatgpt 80 ler güncel, chatgpt 80 ler son dakika",
2026-09-08T00:01:41.036263,gürsel tekin,2 B+,"gürsel tekin güncel, gürsel tekin son dakika",
2026-09-08T00:01:41.537488,rodrigo becão,2 B+,"rodrigo becão son dakika, rodrigo becão güncel",
2026-09-08T01:01:22.855092,göztepe - gaziantep fk,50 B+,"göztepe - gaziantep fk son dakika, göztepe - gaziantep fk güncel",
2026-09-08T01:01:23.356225,nuri aslan,20 B+,"nuri aslan güncel, nuri aslan son dakika",
2026-09-08T01:01:23.857209,rizespor - alanyaspor,20 B+,"rizespor - alanyaspor son dakika, rizespor - alanyaspor güncel",
2026-09-08T01:01:24.358360,mehmet selim imamoğlu,5 B+,"mehmet selim imamoğlu güncel, mehmet selim imamoğlu son dakika",
2026-09-08T01:01:24.859784,ilkay gündoğan,10 B+,"ilkay gündoğan son dakika, ilkay gündoğan güncel",
2026-09-08T01:01:25.361948,ekmek,5 B+,"ekmek son dakika, ekmek güncel",
2026-09-08T01:01:25.862344,evlilik güzeldir oyuncuları,5 B+,"evlilik güzeldir oyuncuları güncel, evlilik güzeldir oyuncuları son dakika",
2026-09-08T01:01:26.363101,gemini,20 B+,"gemini son dakika, gemini güncel",
2026-09-08T01:01:26.863406,banka,5 B+,"banka son dakika, banka güncel",
2026-09-08T01:01:27.364290,rodrigo becao,2 B+,"rodrigo becao güncel, rodrigo becao son dakika",
2026-09-08T01:01:27.865363,inek,10 B+,"inek son dakika, inek güncel",
2026-09-08T01:01:28.366469,gsb kyk yurt sonuçları,20 B+,"gsb kyk yurt sonuçları güncel, gsb kyk yurt sonuçları son dakika",
2026-09-08T01:01:28.867482,yarısı bizden kampanyası uzatıldı mi,2 B+,"yarısı bizden kampanyası uzatıldı mi son dakika, yarısı bizden kampanyası uzatıldı mi güncel",
2026-09-08T01:01:29.368458,rodrigo becão,2 B+,"rodrigo becão son dakika, rodrigo becão güncel",
2026-09-08T01:01:29.869416,chatgpt 80 ler,5 B+,"chatgpt 80 ler güncel, chatgpt 80 ler son dakika",
2026-09-08T02:01:19.589851,göztepe - gaziantep fk,50 B+,"göztepe - gaziantep fk güncel, göztepe - gaziantep fk son dakika",
2026-09-08T02:01:20.090538,nuri aslan,20 B+,"nuri aslan son dakika, nuri aslan güncel",
2026-09-08T02:01:20.591522,mehmet selim imamoğlu,10 B+,"mehmet selim imamoğlu son dakika, mehmet selim imamoğlu güncel",
2026-09-08T02:01:21.092461,rizespor - alanyaspor,20 B+,"rizespor - alanyaspor güncel, rizespor - alanyaspor son dakika",
2026-09-08T02:01:21.593422,ilkay gündoğan,10 B+,"ilkay gündoğan son dakika, ilkay gündoğan güncel",
2026-09-08T02:01:22.094394,ekmek,5 B+,"ekmek son dakika, ekmek güncel",
2026-09-08T02:01:22.595389,evlilik güzeldir oyuncuları,5 B+,"evlilik güzeldir oyuncuları güncel, evlilik güzeldir oyuncuları son dakika",
2026-09-08T02:01:23.096088,rodrigo becao,2 B+,"rodrigo becao son dakika, rodrigo becao güncel",
2026-09-08T02:01:23.598575,inek,10 B+,"inek güncel, inek son dakika",
2026-09-08T02:01:24.099456,banka,5 B+,"banka güncel, banka son dakika",
2026-09-08T02:01:24.600601,uefa champions league 2026,2 B+,"uefa champions league 2026 son dakika, uefa champions league 2026 güncel",
2026-09-08T02:01:25.101570,elche - real sociedad,2 B+,"elche - real sociedad güncel, elche - real sociedad son dakika",
2026-09-08T02:01:25.602718,chatgpt 80 ler,5 B+,"chatgpt 80 ler güncel, chatgpt 80 ler son dakika",
2026-09-08T02:01:26.103524,yarısı bizden kampanyası uzatıldı mi,5 B+,"yarısı bizden kampanyası uzatıldı mi güncel, yarısı bizden kampanyası uzatıldı mi son dakika",
2026-09-08T02:01:26.604620,rodrigo becão,2 B+,"rodrigo becão son dakika, rodrigo becão güncel",
2026-09-08T03:01:23.540812,göztepe - gaziantep fk,50 B+,"göztepe - gaziantep fk güncel, göztepe - gaziantep fk son dakika",
2026-09-08T03:01:24.042646,nuri aslan,20 B+,"nuri aslan güncel, nuri aslan son dakika",
2026-09-08T03:01:24.543930,rizespor - alanyaspor,20 B+,"rizespor - alanyaspor son dakika, rizespor - alanyaspor güncel",
2026-09-08T03:01:25.045299,80 ler akımı nasıl yapılır,10 B+,"80 ler akımı nasıl yapılır güncel, 80 ler akımı nasıl yapılır son dakika",
2026-09-08T03:01:25.546477,ilkay gündoğan,10 B+,"ilkay gündoğan güncel, ilkay gündoğan son dakika",
2026-09-08T03:01:26.047604,mehmet selim imamoğlu,10 B+,"mehmet selim imamoğlu son dakika, mehmet selim imamoğlu güncel",
2026-09-08T03:01:26.548623,ekmek,5 B+,"ekmek güncel, ekmek son dakika",
2026-09-08T03:01:27.049505,uefa champions league 2026,2 B+,"uefa champions league 2026 son dakika, uefa champions league 2026 güncel",
2026-09-08T03:01:27.550408,rodrigo becao,5 B+,"rodrigo becao güncel, rodrigo becao son dakika",
2026-09-08T03:01:28.051305,evlilik güzeldir oyuncuları,5 B+,"evlilik güzeldir oyuncuları güncel, evlilik güzeldir oyuncuları son dakika",
2026-09-08T03:01:28.552211,inek,10 B+,"inek güncel, inek son dakika",
2026-09-08T03:01:29.053591,banka,5 B+,"banka son dakika, banka güncel",
2026-09-08T03:01:29.554507,elche - real sociedad,2 B+,"elche - real sociedad son dakika, elche - real sociedad güncel",
2026-09-08T03:01:30.055586,müfredat,2 B+,"müfredat güncel, müfredat son dakika",
2026-09-08T03:01:30.557715,yarısı bizden kampanyası,5 B+,"yarısı bizden kampanyası son dakika, yarısı bizden kampanyası güncel",
2026-09-08T09:01:11.858525,2026 uefa şampiyonlar ligi,100 B+,"2026 uefa şampiyonlar ligi son dakika, 2026 uefa şampiyonlar ligi güncel",
2026-09-08T09:01:12.358987,göztepe - gaziantep fk,50 B+,"göztepe - gaziantep fk güncel, göztepe - gaziantep fk son dakika",
2026-09-08T09:01:12.859774,nuri aslan,20 B+,"nuri aslan son dakika, nuri aslan güncel",
2026-09-08T09:01:13.360675,ilkay gündoğan,10 B+,"ilkay gündoğan son dakika, ilkay gündoğan güncel",
2026-09-08T09:01:13.861502,80 ler akımı,20 B+,"80 ler akımı güncel, 80 ler akımı son dakika",
2026-09-08T09:01:14.361962,rizespor - alanyaspor,20 B+,"rizespor - alanyaspor güncel, rizespor - alanyaspor son dakika",
2026-09-08T09:01:14.862851,ekmek,10 B+,"ekmek güncel, ekmek son dakika",
2026-09-08T09:01:15.363686,mehmet selim imamoğlu,10 B+,"mehmet selim imamoğlu güncel, mehmet selim imamoğlu son dakika",
2026-09-08T09:01:15.864538,uefa champions league 2026,5 B+,"uefa champions league 2026 güncel, uefa champions league 2026 son dakika",
2026-09-08T09:01:16.364977,rodrigo becao,10 B+,"rodrigo becao güncel, rodrigo becao son dakika",
2026-09-08T09:01:16.866926,banka,10 B+,"banka güncel, banka son dakika",
2026-09-08T09:01:17.367860,inek,10 B+,"inek güncel, inek son dakika",
2026-09-08T09:01:17.868965,chatgpt,50 B+,"chatgpt son dakika, chatgpt güncel",
2026-09-08T09:01:18.369915,leroy sané,5 B+,"leroy sané son dakika, leroy sané güncel",
2026-09-08T09:01:18.871015,elche - real sociedad,5 B+,"elche - real sociedad son dakika, elche - real sociedad güncel",
2026-09-08T11:01:11.091860,2026 uefa şampiyonlar ligi,200 B+,"2026 uefa şampiyonlar ligi son dakika, 2026 uefa şampiyonlar ligi güncel",
2026-09-08T11:01:11.592587,göztepe - gaziantep fk,50 B+,"göztepe - gaziantep fk son dakika, göztepe - gaziantep fk güncel",
2026-09-08T11:01:12.092913,uefa champions league 2026,10 B+,"uefa champions league 2026 güncel, uefa champions league 2026 son dakika",
2026-09-08T11:01:12.593644,80 ler akımı,20 B+,"80 ler akımı son dakika, 80 ler akımı güncel",
2026-09-08T11:01:13.094461,ilkay gündoğan,10 B+,"ilkay gündoğan son dakika, ilkay gündoğan güncel",
2026-09-08T11:01:13.594912,rizespor - alanyaspor,20 B+,"rizespor - alanyaspor güncel, rizespor - alanyaspor son dakika",
2026-09-08T11:01:14.095576,mehmet selim imamoğlu,10 B+,"mehmet selim imamoğlu güncel, mehmet selim imamoğlu son dakika",
2026-09-08T11:01:14.596061,chatgpt,50 B+,"chatgpt son dakika, chatgpt güncel",
2026-09-08T11:01:15.096955,rodrigo becao,10 B+,"rodrigo becao güncel, rodrigo becao son dakika",
2026-09-08T11:01:15.597907,kyk genel,5 B+,"kyk genel güncel, kyk genel son dakika",
2026-09-08T11:01:16.098830,banka,10 B+,"banka son dakika, banka güncel",
2026-09-08T11:01:16.599813,ekmek,10 B+,"ekmek güncel, ekmek son dakika",
2026-09-08T11:01:17.100790,bülent korkmaz,5 B+,"bülent korkmaz güncel, bülent korkmaz son dakika",
2026-09-08T11:01:17.601862,inek,10 B+,"inek güncel, inek son dakika",
2026-09-08T11:01:18.102853,anadolu ajansı,2 B+,"anadolu ajansı güncel, anadolu ajansı son dakika",
2026-09-08T13:01:13.255360,2026 uefa şampiyonlar ligi,200 B+,"2026 uefa şampiyonlar ligi son dakika, 2026 uefa şampiyonlar ligi güncel",
2026-09-08T13:01:13.756118,göztepe - gaziantep fk,50 B+,"göztepe - gaziantep fk son dakika, göztepe - gaziantep fk güncel",
2026-09-08T13:01:14.256917,uefa champions league 2026,10 B+,"uefa champions league 2026 son dakika, uefa champions league 2026 güncel",
2026-09-08T13:01:14.757658,80 ler akımı,20 B+,"80 ler akımı son dakika, 80 ler akımı güncel",
2026-09-08T13:01:15.258099,chatgpt,100 B+,"chatgpt güncel, chatgpt son dakika",
2026-09-08T13:01:15.758927,pegasus,10 B+,"pegasus güncel, pegasus son dakika",
2026-09-08T13:01:16.259689,anadolu ajansı,5 B+,"anadolu ajansı son dakika, anadolu ajansı güncel",
2026-09-08T13:01:16.760069,mehmet selim imamoğlu,10 B+,"mehmet selim imamoğlu son dakika, mehmet selim imamoğlu güncel",
2026-09-08T13:01:17.260989,perakende zinciri,2 B+,"perakende zinciri güncel, perakende zinciri son dakika",
2026-09-08T13:01:17.761906,rizespor - alanyaspor,20 B+,"rizespor - alanyaspor güncel, rizespor - alanyaspor son dakika",
2026-09-08T13:01:18.262799,koyun,5 B+,"koyun son dakika, koyun güncel",
2026-09-08T13:01:18.763735,osman gökçek,5 B+,"osman gökçek güncel, osman gökçek son dakika",
2026-09-08T13:01:19.264226,bülent korkmaz,5 B+,"bülent korkmaz güncel, bülent korkmaz son dakika",
2026-09-08T13:01:19.765111,rodrigo becao,10 B+,"rodrigo becao son dakika, rodrigo becao güncel",
2026-09-08T13:01:20.266053,evlilik güzeldir,10 B+,"evlilik güzeldir son dakika, evlilik güzeldir güncel",
2026-09-08T16:01:10.447124,2026 uefa şampiyonlar ligi,200 B+,"2026 uefa şampiyonlar ligi son dakika, 2026 uefa şampiyonlar ligi güncel",
2026-09-08T16:01:10.947926,göztepe - gaziantep fk,100 B+,"göztepe - gaziantep fk son dakika, göztepe - gaziantep fk güncel",
2026-09-08T16:01:11.448628,uefa champions league 2026,20 B+,"uefa champions league 2026 son dakika, uefa champions league 2026 güncel",
2026-09-08T16:01:11.949127,chatgpt,200 B+,"chatgpt güncel, chatgpt son dakika",
2026-09-08T16:01:12.450002,80 ler akımı,20 B+,"80 ler akımı güncel, 80 ler akımı son dakika",
2026-09-08T16:01:12.950733,anadolu ajansı,10 B+,"anadolu ajansı güncel, anadolu ajansı son dakika",
2026-09-08T16:01:13.451138,osman gökçek,10 B+,"osman gökçek güncel, osman gökçek son dakika",
