timestamp,query,volume,related_top,related_rising
2026-09-18T09:01:15.260371,beşiktaş - marsilya puan durumları,1 Mn+,"beşiktaş - marsilya puan durumları güncel, beşiktaş - marsilya puan durumları son dakika",
2026-09-18T09:01:15.761029,kadir inanır mirası,20 B+,"kadir inanır mirası son dakika, kadir inanır mirası güncel",
2026-09-18T09:01:16.261833,gülsen tuncer,20 B+,"gülsen tuncer güncel, gülsen tuncer son dakika",
2026-09-18T09:01:16.762654,türk lirası,20 B+,"türk lirası güncel, türk lirası son dakika",
2026-09-18T09:01:17.262926,dominik livaković,5 B+,"dominik livaković son dakika, dominik livaković güncel",
2026-09-18T09:01:17.763658,şinasi yüzbaşıoğlu,20 B+,"şinasi yüzbaşıoğlu son dakika, şinasi yüzbaşıoğlu güncel",
2026-09-18T09:01:18.264008,manchester city - norwich city,10 B+,"manchester city - norwich city son dakika, manchester city - norwich city güncel",
2026-09-18T09:01:18.764885,nilperi şahinkaya,5 B+,"nilperi şahinkaya güncel, nilperi şahinkaya son dakika",
2026-09-18T09:01:19.265660,amasyaspor,5 B+,"amasyaspor son dakika, amasyaspor güncel",
2026-09-18T09:01:19.766020,hava durumu,200 B+,"hava durumu güncel, hava durumu son dakika",
2026-09-18T09:01:20.267068,adana hava durumu,10 B+,"adana hava durumu güncel, adana hava durumu son dakika",
2026-09-18T09:01:20.768249,beyza gümülcine,20 B+,"beyza gümülcine güncel, beyza gümülcine son dakika",
2026-09-18T09:01:21.269086,kimlik belgesi,5 B+,"kimlik belgesi son dakika, kimlik belgesi güncel",
2026-09-18T09:01:21.769983,hasan atilla uğur,10 B+,"hasan atilla uğur son dakika, hasan atilla uğur güncel",
2026-09-18T09:01:22.270974,avrupa ligi puan durumu,10 B+,"avrupa ligi puan durumu son dakika, avrupa ligi puan durumu güncel",
