timestamp,query,volume,related_top,related_rising
2025-10-07T00:01:08.180712,serdar öktem,200 B+,"serdar öktem güncel, serdar öktem son dakika",
2025-10-07T00:01:08.681766,tbmm geçti tüm borçlar ödenecek,20 B+,"tbmm geçti tüm borçlar ödenecek güncel, tbmm geçti tüm borçlar ödenecek son dakika",
2025-10-07T00:01:09.182975,bedelli askerlik,10 B+,"bedelli askerlik son dakika, bedelli askerlik güncel",
2025-10-07T00:01:09.684175,fenerbahçe - petkim spor,20 B+,"fenerbahçe - petkim spor güncel, fenerbahçe - petkim spor skor, fenerbahçe - petkim spor son dakika, skor fenerbahçe - petkim spor, fenerbahçe - petkim spor maç","fenerbahçe - petkim spor lig son dakika, haber fenerbahçe - petkim spor haberleri, fenerbahçe - petkim spor takım son dakika, fenerbahçe - petkim spor haber son dakika, takım fenerbahçe - petkim spor haberleri"
2025-10-07T00:01:10.185257,siklon,5 B+,"siklon son dakika, siklon güncel",
2025-10-07T00:01:10.686505,türkiye maçı,10 B+,"türkiye maçı son dakika, türkiye maçı güncel",
2025-10-07T00:01:11.187558,istanbul altın rafinerisi,10 B+,"istanbul altın rafinerisi son dakika, istanbul altın rafinerisi güncel",
2025-10-07T00:01:11.688671,cennetin çocukları nerede çekiliyor,5 B+,"cennetin çocukları nerede çekiliyor son dakika, cennetin çocukları nerede çekiliyor güncel",
2025-10-07T00:01:12.189826,mutlu kaya,5 B+,"mutlu kaya güncel, mutlu kaya son dakika",
2025-10-07T00:01:12.691105,doğa koruma ve milli parklar genel müdürlüğü personel alımı 2025,5 B+,"doğa koruma ve milli parklar genel müdürlüğü personel alımı 2025 son dakika, doğa koruma ve milli parklar genel müdürlüğü personel alımı 2025 güncel",
2025-10-07T00:01:13.192073,kanald canli izle,2 B+,"kanald canli izle güncel, kanald canli izle son dakika",
2025-10-07T00:01:13.693199,türkiye,5 B+,"türkiye son dakika, türkiye güncel",
2025-10-07T00:01:14.194276,arsa,1 B+,"arsa son dakika, arsa güncel",
2025-10-07T00:01:14.695256,uzak şehir 32 bölüm full izle,2 B+,"uzak şehir 32 bölüm full izle güncel, uzak şehir 32 bölüm full izle son dakika",
2025-10-07T00:01:15.196374,yks ek yerleştirme sonuçları,10 B+,"yks ek yerleştirme sonuçları son dakika, yks ek yerleştirme sonuçları güncel",
2025-10-07T01:01:05.692767,serdar öktem,200 B+,"serdar öktem son dakika, serdar öktem güncel",
2025-10-07T01:01:06.193749,tbmm geçti tüm borçlar ödenecek,20 B+,"tbmm geçti tüm borçlar ödenecek son dakika, tbmm geçti tüm borçlar ödenecek güncel",
2025-10-07T01:01:06.694818,bedelli askerlik,10 B+,"bedelli askerlik son dakika, bedelli askerlik güncel",
2025-10-07T01:01:07.196010,siklon,10 B+,"siklon güncel, siklon son dakika",
2025-10-07T01:01:07.697284,fenerbahçe - petkim spor,20 B+,"fenerbahçe - petkim spor son dakika, maç fenerbahçe - petkim spor, sonuç fenerbahçe - petkim spor, fenerbahçe - petkim spor sonuç, fenerbahçe - petkim spor maç","fenerbahçe - petkim spor takım son dakika, fenerbahçe - petkim spor haber son dakika, takım fenerbahçe - petkim spor haberleri, lig fenerbahçe - petkim spor haberleri, fenerbahçe - petkim spor lig son dakika"
2025-10-07T01:01:08.198518,uzak şehir 32 bölüm full izle,5 B+,"uzak şehir 32 bölüm full izle son dakika, uzak şehir 32 bölüm full izle güncel",
2025-10-07T01:01:08.699593,türkiye maçı,20 B+,"türkiye maçı son dakika, türkiye maçı güncel",
2025-10-07T01:01:09.200646,istanbul altın rafinerisi,10 B+,"istanbul altın rafinerisi güncel, istanbul altın rafinerisi son dakika",
2025-10-07T01:01:09.701730,doğa koruma ve milli parklar genel müdürlüğü personel alımı 2025,5 B+,"doğa koruma ve milli parklar genel müdürlüğü personel alımı 2025 güncel, doğa koruma ve milli parklar genel müdürlüğü personel alımı 2025 son dakika",
2025-10-07T01:01:10.202822,türkiye,5 B+,"türkiye son dakika, türkiye güncel",
2025-10-07T01:01:10.704031,halep,500+,"halep son dakika, halep güncel",
2025-10-07T01:01:11.205086,tom cruise,500+,"tom cruise son dakika, tom cruise güncel",
