timestamp,query,volume,related_top,related_rising
2026-07-13T12:01:12.589005,haluk levent,100 B+,"haluk levent güncel, haluk levent son dakika",
2026-07-13T12:01:13.089848,iki çay markasında boya,50 B+,"iki çay markasında boya güncel, iki çay markasında boya son dakika",
2026-07-13T12:01:13.590558,kabızlık,20 B+,"kabızlık güncel, kabızlık son dakika",
2026-07-13T12:01:14.091060,a101 katalog bu hafta 2026,10 B+,"a101 katalog bu hafta 2026 son dakika, a101 katalog bu hafta 2026 güncel",
2026-07-13T12:01:14.591894,lgs tercih,20 B+,"lgs tercih son dakika, lgs tercih güncel",
2026-07-13T12:01:15.092622,ticaret bakanlığı e ihale,20 B+,"ticaret bakanlığı e ihale son dakika, ticaret bakanlığı e ihale güncel",
2026-07-13T12:01:15.593164,bilet,5 B+,"bilet son dakika, bilet güncel",
2026-07-13T12:01:16.094077,şehit,10 B+,"şehit son dakika, şehit güncel",
2026-07-13T12:01:16.594920,sam neill,2 B+,"sam neill güncel, sam neill son dakika",
2026-07-13T12:01:17.095838,damla sönmez,5 B+,"damla sönmez son dakika, damla sönmez güncel",
2026-07-13T12:01:17.596814,italya kadın milli voleybol takımı,5 B+,"italya kadın milli voleybol takımı güncel, italya kadın milli voleybol takımı son dakika",
2026-07-13T12:01:18.097691,anadolu efes,5 B+,"anadolu efes son dakika, anadolu efes güncel",
2026-07-13T12:01:18.598615,tüpraş,2 B+,"tüpraş güncel, tüpraş son dakika",
2026-07-13T12:01:19.099117,muhsin yazıcıoğlu,2 B+,"muhsin yazıcıoğlu son dakika, muhsin yazıcıoğlu güncel",
2026-07-13T12:01:19.599988,savaş,2 B+,"savaş güncel, savaş son dakika",
2026-07-13T21:01:11.195474,italya kadın milli voleybol takımı,20 B+,"italya kadın milli voleybol takımı son dakika, italya kadın milli voleybol takımı güncel",
2026-07-13T21:01:11.696266,lgs tercih,50 B+,"lgs tercih son dakika, lgs tercih güncel",
2026-07-13T21:01:12.197024,serhan kerim adalı,10 B+,"serhan kerim adalı son dakika, serhan kerim adalı güncel",
2026-07-13T21:01:12.697298,ece güner,100 B+,"ece güner güncel, ece güner son dakika",
2026-07-13T21:01:13.198112,iban,5 B+,"iban güncel, iban son dakika",
2026-07-13T21:01:13.698991,milletvekili,10 B+,"milletvekili son dakika, milletvekili güncel",
2026-07-13T21:01:14.199409,memur,20 B+,"memur güncel, memur son dakika",
2026-07-13T21:01:14.700340,sam neill,10 B+,"sam neill son dakika, sam neill güncel",
2026-07-13T21:01:15.201312,tüpraş,5 B+,"tüpraş son dakika, tüpraş güncel",
2026-07-13T21:01:15.702197,leo pereira,5 B+,"leo pereira güncel, leo pereira son dakika",
2026-07-13T21:01:16.203151,house of the dragon 3. sezon 4. bölüm,2 B+,"house of the dragon 3. sezon 4. bölüm güncel, house of the dragon 3. sezon 4. bölüm son dakika",
2026-07-13T21:01:16.703728,muhsin yazıcıoğlu,5 B+,"muhsin yazıcıoğlu güncel, muhsin yazıcıoğlu son dakika",
2026-07-13T21:01:17.204444,soğan,5 B+,"soğan güncel, soğan son dakika",
2026-07-13T21:01:17.705228,türkiye futbol federasyonu,20 B+,"süper lig türkiye futbol federasyonu, türkiye futbol federasyonu son dakika, türkiye futbol federasyonu güncel, transfer türkiye futbol federasyonu, türkiye futbol federasyonu haber","türkiye futbol federasyonu analiz son dakika, analiz türkiye futbol federasyonu haberleri"
