timestamp,query,volume,related_top,related_rising
2025-09-28T00:01:06.291424,atletico madrid - real madrid,200 B+,"atletico madrid - real madrid son dakika, atletico madrid - real madrid güncel",
2025-09-28T00:01:06.792112,cagliari - inter,20 B+,"cagliari - inter güncel, cagliari - inter son dakika",
2025-09-28T00:01:07.293254,juventus - atalanta,20 B+,"juventus - atalanta son dakika, juventus - atalanta güncel",
2025-09-28T00:01:07.794423,mönchengladbach - eintracht frankfurt,20 B+,"mönchengladbach - eintracht frankfurt güncel, mönchengladbach - eintracht frankfurt son dakika",
2025-09-28T00:01:08.295580,gaziantep fk - samsunspor,50 B+,"gaziantep fk - samsunspor son dakika, gaziantep fk - samsunspor güncel",
2025-09-28T00:01:08.796668,psg - auxerre,10 B+,"psg - auxerre güncel, psg - auxerre son dakika",
2025-09-28T00:01:09.297775,eyüpspor - göztepe,20 B+,"eyüpspor - göztepe güncel, eyüpspor - göztepe son dakika",
2025-09-28T00:01:09.798320,tofaş - fenerbahçe,20 B+,"tofaş - fenerbahçe güncel, tofaş - fenerbahçe son dakika",
2025-09-28T00:01:10.299470,crystal palace - liverpool,20 B+,"crystal palace - liverpool son dakika, crystal palace - liverpool güncel",
2025-09-28T00:01:10.800366,real madrid atletico madrid,50 B+,"real madrid atletico madrid son dakika, real madrid atletico madrid güncel",
2025-09-28T00:01:11.301569,ferdi zeyrek,5 B+,"ferdi zeyrek son dakika, ferdi zeyrek güncel",
2025-09-28T00:01:11.802387,manchester city - burnley,20 B+,"manchester city - burnley güncel, manchester city - burnley son dakika",
2025-09-28T00:01:12.303203,tottenham - wolverhampton,5 B+,"tottenham - wolverhampton güncel, tottenham - wolverhampton son dakika",
2025-09-28T00:01:12.804126,tusaş kaan,5 B+,"tusaş kaan güncel, tusaş kaan son dakika",
2025-09-28T00:01:13.305214,أتلتيكو مدريد ضد الريال,20 B+,"أتلتيكو مدريد ضد الريال son dakika, أتلتيكو مدريد ضد الريال güncel",
2025-09-28T01:01:04.521199,atletico madrid - real madrid,200 B+,"atletico madrid - real madrid güncel, atletico madrid - real madrid son dakika",
2025-09-28T01:01:05.022383,cagliari - inter,20 B+,"cagliari - inter güncel, cagliari - inter son dakika",
2025-09-28T01:01:05.523398,juventus - atalanta,20 B+,"juventus - atalanta güncel, juventus - atalanta son dakika",
2025-09-28T01:01:06.024479,mönchengladbach - eintracht frankfurt,20 B+,"mönchengladbach - eintracht frankfurt son dakika, mönchengladbach - eintracht frankfurt güncel",
2025-09-28T01:01:06.525619,gaziantep fk - samsunspor,50 B+,"gaziantep fk - samsunspor son dakika, gaziantep fk - samsunspor güncel",
2025-09-28T01:01:07.026771,psg - auxerre,10 B+,"psg - auxerre güncel, psg - auxerre son dakika",
2025-09-28T01:01:07.528001,eyüpspor - göztepe,20 B+,"eyüpspor - göztepe güncel, eyüpspor - göztepe son dakika",
2025-09-28T01:01:08.029141,crystal palace - liverpool,20 B+,"crystal palace - liverpool güncel, crystal palace - liverpool son dakika",
2025-09-28T01:01:08.530292,real madrid atletico madrid,50 B+,"real madrid atletico madrid güncel, real madrid atletico madrid son dakika",
2025-09-28T01:01:09.031373,tofaş - fenerbahçe,20 B+,"tofaş - fenerbahçe son dakika, tofaş - fenerbahçe güncel",
2025-09-28T01:01:09.532424,ferdi zeyrek,5 B+,"ferdi zeyrek son dakika, ferdi zeyrek güncel",
2025-09-28T01:01:10.033589,tottenham - wolverhampton,10 B+,"tottenham - wolverhampton son dakika, tottenham - wolverhampton güncel",
2025-09-28T01:01:10.534732,manchester city - burnley,20 B+,"manchester city - burnley güncel, manchester city - burnley son dakika",
2025-09-28T01:01:11.035786,أتلتيكو مدريد ضد الريال,20 B+,"أتلتيكو مدريد ضد الريال son dakika, أتلتيكو مدريد ضد الريال güncel",
2025-09-28T01:01:11.536259,toronto - inter miami,2 B+,"toronto - inter miami son dakika, toronto - inter miami güncel",
2025-09-28T02:01:04.506252,atletico madrid - real madrid,200 B+,"atletico madrid - real madrid son dakika, atletico madrid - real madrid güncel",
2025-09-28T02:01:05.007210,cagliari - inter,20 B+,"cagliari - inter güncel, cagliari - inter son dakika",
2025-09-28T02:01:05.508209,juventus - atalanta,20 B+,"juventus - atalanta güncel, juventus - atalanta son dakika",
2025-09-28T02:01:06.009333,mönchengladbach - eintracht frankfurt,20 B+,"mönchengladbach - eintracht frankfurt güncel, mönchengladbach - eintracht frankfurt son dakika",
2025-09-28T02:01:06.510456,gaziantep fk - samsunspor,50 B+,"gaziantep fk - samsunspor son dakika, gaziantep fk - samsunspor güncel",
2025-09-28T02:01:07.011571,real madrid atletico madrid,50 B+,"real madrid atletico madrid güncel, real madrid atletico madrid son dakika",
2025-09-28T02:01:07.512689,ferdi zeyrek,10 B+,"ferdi zeyrek son dakika, ferdi zeyrek güncel",
2025-09-28T02:01:08.013803,eyüpspor - göztepe,20 B+,"eyüpspor - göztepe güncel, eyüpspor - göztepe son dakika",
2025-09-28T02:01:08.514955,crystal palace - liverpool,20 B+,"crystal palace - liverpool son dakika, crystal palace - liverpool güncel",
2025-09-28T02:01:09.016121,psg - auxerre,10 B+,"psg - auxerre güncel, psg - auxerre son dakika",
2025-09-28T02:01:09.517249,tofaş - fenerbahçe,20 B+,"tofaş - fenerbahçe güncel, tofaş - fenerbahçe son dakika",
2025-09-28T02:01:10.018382,toronto - inter miami,2 B+,"toronto - inter miami son dakika, toronto - inter miami güncel",
2025-09-28T02:01:10.519503,crystal palace,5 B+,"crystal palace güncel, crystal palace son dakika",
2025-09-28T02:01:11.020660,gökhan gönül,2 B+,"gökhan gönül son dakika, gökhan gönül güncel",
2025-09-28T02:01:11.521584,tottenham - wolverhampton,5 B+,"tottenham - wolverhampton güncel, tottenham - wolverhampton son dakika",
2025-09-28T03:01:04.877525,atletico madrid - real madrid,200 B+,"atletico madrid - real madrid son dakika, atletico madrid - real madrid güncel",
