timestamp,query,volume,related_top,related_rising
2025-09-19T00:01:07.490948,can uzun,50 B+,"can uzun son dakika, can uzun güncel",
2025-09-19T00:01:07.992014,newcastle united - barcelona,20 B+,"newcastle united - barcelona güncel, newcastle united - barcelona son dakika",
2025-09-19T00:01:08.493033,manchester city - napoli,20 B+,"manchester city - napoli güncel, manchester city - napoli son dakika",
2025-09-19T00:01:08.993393,esref ruya 14 bolum izle,50 B+,"esref ruya 14 bolum izle son dakika, esref ruya 14 bolum izle güncel",
2025-09-19T00:01:09.494255,barcelona,20 B+,"barcelona son dakika, barcelona güncel",
2025-09-19T00:01:09.995298,نيوكاسل يونايتد ضد برشلونة,10 B+,"نيوكاسل يونايتد ضد برشلونة son dakika, نيوكاسل يونايتد ضد برشلونة güncel",
2025-09-19T00:01:10.496340,tabii,20 B+,"tabii son dakika, tabii güncel",
2025-09-19T00:01:10.997407,manchester city,10 B+,"manchester city son dakika, manchester city güncel",
2025-09-19T00:01:11.498422,sane,5 B+,"sane son dakika, sane güncel",
2025-09-19T00:01:11.999491,kamçatka,5 B+,"kamçatka güncel, kamçatka son dakika",
2025-09-19T00:01:12.500566,monaco,10 B+,"monaco güncel, monaco son dakika",
2025-09-19T00:01:13.001655,beşiktaş frankfurt,2 B+,"beşiktaş frankfurt güncel, beşiktaş frankfurt son dakika",
2025-09-19T00:01:13.502582,ilkay gündoğan,5 B+,"ilkay gündoğan güncel, ilkay gündoğan son dakika",
2025-09-19T00:01:14.003677,sporting lizbon - kairat,2 B+,"sporting lizbon - kairat son dakika, sporting lizbon - kairat güncel",
2025-09-19T00:01:14.504776,kopenhag - leverkusen,10 B+,"kopenhag - leverkusen güncel, kopenhag - leverkusen son dakika",
