timestamp,query,volume,related_top,related_rising
2025-10-05T00:01:06.917992,real madrid - villarreal,100 B+,"real madrid - villarreal son dakika, real madrid - villarreal güncel",
2025-10-05T00:01:07.418334,chelsea - liverpool,100 B+,"chelsea - liverpool son dakika, chelsea - liverpool güncel",
2025-10-05T00:01:07.919231,ben leman nerede çekiliyor,20 B+,"ben leman nerede çekiliyor son dakika, ben leman nerede çekiliyor güncel",
2025-10-05T00:01:08.420163,kocaelispor - eyüpspor,50 B+,"kocaelispor - eyüpspor güncel, kocaelispor - eyüpspor son dakika",
2025-10-05T00:01:08.920616,amed - keçiörengücü,50 B+,"amed - keçiörengücü güncel, amed - keçiörengücü son dakika",
2025-10-05T00:01:09.421697,inter - cremonese,20 B+,"inter - cremonese güncel, inter - cremonese son dakika",
2025-10-05T00:01:09.922785,sergen yalçın,20 B+,"sergen yalçın güncel, sergen yalçın son dakika",
2025-10-05T00:01:10.424001,eintracht frankfurt - bayern münih,20 B+,"eintracht frankfurt - bayern münih güncel, eintracht frankfurt - bayern münih son dakika",
2025-10-05T00:01:10.924788,الريال ضد فياريال,20 B+,"الريال ضد فياريال güncel, الريال ضد فياريال son dakika",
2025-10-05T00:01:11.425672,aynadaki yabancı oyuncular,10 B+,"aynadaki yabancı oyuncular güncel, aynadaki yabancı oyuncular son dakika",
2025-10-05T00:01:11.926802,selçuksports,200 B+,"selçuksports güncel, selçuksports son dakika",
2025-10-05T00:01:12.427794,erzurumspor - vanspor,20 B+,"erzurumspor - vanspor son dakika, erzurumspor - vanspor güncel",
2025-10-05T00:01:12.929057,greta thunberg,10 B+,"greta thunberg son dakika, greta thunberg güncel",
2025-10-05T00:01:13.430197,arsenal - west ham united,10 B+,"arsenal - west ham united güncel, arsenal - west ham united son dakika",
2025-10-05T00:01:13.931269,gök gürültülü sağanak yağış,5 B+,"gök gürültülü sağanak yağış güncel, gök gürültülü sağanak yağış son dakika",
