timestamp,query,volume,related_top,related_rising
2026-09-22T08:01:12.787243,alihan kuriş,2 B+,"alihan kuriş güncel, alihan kuriş son dakika",
2026-09-22T08:01:13.287932,istanbul hava durumu,2 B+,"istanbul hava durumu güncel, istanbul hava durumu son dakika",
2026-09-22T08:01:13.788731,masterchef te kım elendı,2 B+,"masterchef te kım elendı son dakika, masterchef te kım elendı güncel",
2026-09-22T08:01:14.289513,işkur,5 B+,"işkur son dakika, işkur güncel",
2026-09-22T08:01:14.789971,cindy crawford,2 B+,"cindy crawford güncel, cindy crawford son dakika",
2026-09-22T08:01:15.290741,sözcü,1 B+,"sözcü son dakika, sözcü güncel",
2026-09-22T08:01:15.791775,concerts,500+,"concerts güncel, concerts son dakika",
2026-09-22T08:01:16.292672,news,500+,"news son dakika, news güncel",
2026-09-22T08:01:16.793544,uzak şehir son bölüm izle,5 B+,"uzak şehir son bölüm izle son dakika, uzak şehir son bölüm izle güncel",
2026-09-22T08:01:17.294014,bursa hava durumu,200+,"bursa hava durumu güncel, bursa hava durumu son dakika",
2026-09-22T08:01:17.795012,kanal d canlı,10 B+,"kanal d canlı güncel, kanal d canlı son dakika",
2026-09-22T08:01:18.295934,kocaeli hava durumu,100+,"kocaeli hava durumu son dakika, kocaeli hava durumu güncel",
2026-09-22T08:01:18.796936,sayısal loto,1 B+,"sayısal loto güncel, sayısal loto son dakika",
2026-09-22T08:01:19.297899,sports,200+,"sports güncel, sports son dakika",
2026-09-22T08:01:19.798631,mebbis,20 B+,"mebbis son dakika, mebbis güncel",
2026-09-22T09:01:10.884697,komek kayıt,1 B+,"komek kayıt son dakika, komek kayıt güncel",
2026-09-22T09:01:11.385654,manisa,2 B+,"manisa son dakika, manisa güncel",
2026-09-22T09:01:11.886585,mebbis,2 B+,"mebbis son dakika, mebbis güncel",
2026-09-22T09:01:12.387799,işkur,5 B+,"işkur son dakika, işkur güncel",
2026-09-22T09:01:12.888700,alihan kuriş,2 B+,"alihan kuriş son dakika, alihan kuriş güncel",
2026-09-22T09:01:13.389816,masterchef te kım elendı,2 B+,"masterchef te kım elendı güncel, masterchef te kım elendı son dakika",
2026-09-22T09:01:13.891056,son dakika haberleri,500+,"son dakika haberleri güncel, son dakika haberleri son dakika",
2026-09-22T09:01:14.391996,altı üstü istanbul son bölüm izle,5 B+,"altı üstü istanbul son bölüm izle güncel, altı üstü istanbul son bölüm izle son dakika",
2026-09-22T09:01:14.892882,uzak şehir son bölüm,5 B+,"uzak şehir son bölüm son dakika, uzak şehir son bölüm güncel",
2026-09-22T09:01:15.394358,istanbul hava durumu,2 B+,"istanbul hava durumu son dakika, istanbul hava durumu güncel",
2026-09-22T09:01:15.895036,haber7,1 B+,"haber7 son dakika, haber7 güncel",
2026-09-22T09:01:16.396028,en son haber,200+,"en son haber son dakika, en son haber güncel",
2026-09-22T09:01:16.896926,memurlar net,200+,"memurlar net güncel, memurlar net son dakika",
2026-09-22T09:01:17.397906,hamdi ulukaya,100+,"hamdi ulukaya güncel, hamdi ulukaya son dakika",
2026-09-22T09:01:17.898892,kanal d canlı,10 B+,"kanal d canlı güncel, kanal d canlı son dakika",
