timestamp,query,volume,related_top,related_rising
2026-06-14T10:01:20.299236,türkiye maçı,2 Mn+,"türkiye maçı güncel, türkiye maçı son dakika",
2026-06-14T10:01:20.800387,brezilya fas,200 B+,"brezilya fas güncel, brezilya fas son dakika",
2026-06-14T10:01:21.301397,lgs 2026 soruları,200 B+,"lgs 2026 soruları son dakika, lgs 2026 soruları güncel",
2026-06-14T10:01:21.802351,australia vs türkiye,20 B+,"australia vs türkiye güncel, australia vs türkiye son dakika",
2026-06-14T10:01:22.303425,almanya,10 B+,"almanya güncel, almanya son dakika",
2026-06-14T10:01:22.804102,harry souttar,10 B+,"harry souttar güncel, harry souttar son dakika",
2026-06-14T10:01:23.304710,sözleşme,10 B+,"sözleşme güncel, sözleşme son dakika",
2026-06-14T10:01:23.805173,trt1,200 B+,"trt1 son dakika, trt1 güncel",
2026-06-14T10:01:24.305816,milliyetçi hareket partisi,20 B+,"milliyetçi hareket partisi güncel, milliyetçi hareket partisi son dakika",
2026-06-14T10:01:24.806158,okul,20 B+,"okul güncel, okul son dakika",
2026-06-14T10:01:25.306798,süper hücre,10 B+,"süper hücre son dakika, süper hücre güncel",
2026-06-14T10:01:25.807174,petrol,20 B+,"petrol son dakika, petrol güncel",
2026-06-14T10:01:26.307795,ümit davala,10 B+,"ümit davala son dakika, ümit davala güncel",
2026-06-14T10:01:26.808157,deniz gül,5 B+,"deniz gül son dakika, deniz gül güncel",
2026-06-14T10:01:27.308765,ali mahir başarır,10 B+,"ali mahir başarır güncel, ali mahir başarır son dakika",
2026-06-14T22:01:29.827830,curaçao,1 Mn+,"curaçao son dakika, curaçao güncel",
2026-06-14T22:01:30.328071,kanal d canlı,20 B+,"kanal d canlı son dakika, kanal d canlı güncel",
2026-06-14T22:01:30.828678,kanal d,20 B+,"kanal d güncel, kanal d son dakika",
2026-06-14T22:01:31.329098,fifa,20 B+,"fifa güncel, fifa son dakika",
2026-06-14T22:01:31.829851,bridget moynahan,20 B+,"bridget moynahan son dakika, bridget moynahan güncel",
2026-06-14T22:01:32.330334,türkiye maçı,2 Mn+,"türkiye maçı son dakika, türkiye maçı güncel",
2026-06-14T22:01:32.831317,jpmorgan chase,10 B+,"jpmorgan chase son dakika, jpmorgan chase güncel",
2026-06-14T22:01:33.332230,deniz undav,5 B+,"deniz undav güncel, deniz undav son dakika",
2026-06-14T22:01:33.832869,cengiz ünder,10 B+,"cengiz ünder son dakika, cengiz ünder güncel",
2026-06-14T22:01:34.333064,kerem aktürkoğlu,20 B+,"kerem aktürkoğlu güncel, kerem aktürkoğlu son dakika",
2026-06-14T22:01:34.833668,antalya,10 B+,"antalya güncel, antalya son dakika",
2026-06-14T22:01:35.334086,uyarı,20 B+,"uyarı güncel, uyarı son dakika",
2026-06-14T22:01:35.834643,curaçao millî futbol takımı,5 B+,"transfer curaçao millî futbol takımı, curaçao millî futbol takımı haber, curaçao millî futbol takımı son dakika, curaçao millî futbol takımı transfer, curaçao millî futbol takımı süper lig","curaçao millî futbol takımı analiz son dakika, analiz curaçao millî futbol takımı haberleri"
2026-06-14T22:01:36.335111,almanya millî futbol takımı,10 B+,"süper lig almanya millî futbol takımı, almanya millî futbol takımı güncel, almanya millî futbol takımı son dakika, almanya millî futbol takımı süper lig, almanya millî futbol takımı transfer","analiz almanya millî futbol takımı haberleri, almanya millî futbol takımı analiz son dakika"
2026-06-14T22:01:36.836010,yakıt,5 B+,"yakıt son dakika, yakıt güncel",
2026-06-14T23:01:35.131497,curaçao,1 Mn+,"curaçao güncel, curaçao son dakika",
2026-06-14T23:01:35.632260,betplay,100 B+,"betplay güncel, betplay son dakika",
2026-06-14T23:01:36.133299,daha 17,50 B+,"daha 17 son dakika, daha 17 güncel",
2026-06-14T23:01:36.634204,bridget moynahan,20 B+,"bridget moynahan son dakika, bridget moynahan güncel",
2026-06-14T23:01:37.134890,kanal d canlı,50 B+,"kanal d canlı son dakika, kanal d canlı güncel",
2026-06-14T23:01:37.635066,fifa,20 B+,"fifa güncel, fifa son dakika",
2026-06-14T23:01:38.135729,oliver tree,5 B+,"oliver tree son dakika, oliver tree güncel",
2026-06-14T23:01:38.636072,jpmorgan chase,10 B+,"jpmorgan chase güncel, jpmorgan chase son dakika",
2026-06-14T23:01:39.136710,türkiye maçı,2 Mn+,"türkiye maçı son dakika, türkiye maçı güncel",
2026-06-14T23:01:39.637085,cengiz ünder,10 B+,"cengiz ünder güncel, cengiz ünder son dakika",
2026-06-14T23:01:40.137697,kerem aktürkoğlu,20 B+,"kerem aktürkoğlu güncel, kerem aktürkoğlu son dakika",
2026-06-14T23:01:40.638067,uyarı,20 B+,"uyarı son dakika, uyarı güncel",
2026-06-14T23:01:41.138695,hollanda - japonya,10 B+,"hollanda - japonya güncel, hollanda - japonya son dakika",
2026-06-14T23:01:41.639115,antalya,10 B+,"antalya son dakika, antalya güncel",
2026-06-14T23:01:42.140512,curaçao millî futbol takımı,5 B+,"curaçao millî futbol takımı son dakika, süper lig curaçao millî futbol takımı, curaçao millî futbol takımı güncel, curaçao millî futbol takımı transfer, curaçao millî futbol takımı süper lig","curaçao millî futbol takımı analiz son dakika, analiz curaçao millî futbol takımı haberleri"
