timestamp,rank,label,name,posts,tweet_count,url
2025-09-16T12:20:49.633978,19,Trending in Turkey,Investco Holding,,0,https://twitter.com/search?q=Investco%20Holding
2025-09-16T12:20:49.633983,20,Trending in Turkey,Kızılcık Şerbeti,13.2K posts,132,https://twitter.com/search?q=Kızılcık%20Şerbeti
2025-09-16T12:20:49.633988,21,Entertainment · Trending,Ufuk Özkan,"7,382 posts",7382,https://twitter.com/search?q=Ufuk%20Özkan
2025-09-16T12:20:49.633993,22,Trending in Turkey,Fetö,32.6K posts,326,https://twitter.com/search?q=Fetö
2025-09-16T12:20:49.633997,23,Trending in Turkey,Şike,19.4K posts,194,https://twitter.com/search?q=Şike
2025-09-16T12:20:49.634002,24,Trending in Turkey,24 Ekim'e,"3,453 posts",3453,https://twitter.com/search?q=24%20Ekim'e
2025-09-16T12:20:49.634006,25,Trending in Turkey,Komisyondan Meclise,,0,https://twitter.com/search?q=Komisyondan%20Meclise
2025-09-16T12:20:49.634011,26,Trending in Turkey,Nihat Özçelik,,0,https://twitter.com/search?q=Nihat%20Özçelik
2025-09-16T12:20:49.634015,27,Trending in Turkey,parlayanyıldız minademirtaş,36.6K posts,366,https://twitter.com/search?q=parlayanyıldız%20minademirtaş
2025-09-16T12:20:49.634021,28,Trending in Turkey,Günaydınlar,"4,108 posts",4108,https://twitter.com/search?q=Günaydınlar
2025-09-16T12:20:49.634026,29,Sports · Trending,UEFA,42.5K posts,425,https://twitter.com/search?q=UEFA
2025-09-16T12:20:49.634030,30,Trending in Turkey,Ertuğrul,28.1K posts,281,https://twitter.com/search?q=Ertuğrul
2025-09-16T12:20:49.634035,31,Trending in Turkey,CHP'nin 38,"3,952 posts",3952,https://twitter.com/search?q=CHP'nin%2038
2025-09-16T12:29:55.943386,1,,ŞampiyonlarLigi,,0,https://twitter.com/search?q=ŞampiyonlarLigi
2025-09-16T12:29:55.943401,2,Trending in Turkey,#KalbimizSumud,73.9K posts,739,https://twitter.com/search?q=%23KalbimizSumud
2025-09-16T12:29:55.943410,3,Trending in Turkey,#EmniyetinPromosyonu,89K posts,89,https://twitter.com/search?q=%23EmniyetinPromosyonu
2025-09-16T12:29:55.943419,4,Trending in Turkey,#UzakŞehir,70.2K posts,702,https://twitter.com/search?q=%23UzakŞehir
2025-09-16T12:29:55.943428,5,Business & finance · Trending,Işık Ökte,,0,https://twitter.com/search?q=Işık%20Ökte
2025-09-16T12:29:55.943436,6,Only on X · Trending,#salı,"3,340 posts",3340,https://twitter.com/search?q=%23salı
2025-09-16T12:29:55.943445,7,Trending in Turkey,#FBvTS,"8,973 posts",8973,https://twitter.com/search?q=%23FBvTS
2025-09-16T12:29:55.943453,8,Trending in Turkey,O.C.,75.9K posts,759,https://twitter.com/search?q=O.C.
2025-09-16T12:29:55.943461,9,Trending in Turkey,İsrail Gazze'ye,"1,709 posts",1709,https://twitter.com/search?q=İsrail%20Gazze'ye
2025-09-16T12:29:55.943470,10,Trending in Turkey,Sedat Peker,37K posts,37,https://twitter.com/search?q=Sedat%20Peker
2025-09-16T12:29:55.943478,11,Trending in Turkey,Borsa İstanbul,,0,https://twitter.com/search?q=Borsa%20İstanbul
