timestamp,query,volume,related_top,related_rising
2026-09-21T10:01:13.515940,inanç keskin,10 B+,"inanç keskin güncel, inanç keskin son dakika",
2026-09-21T10:01:14.016945,amedspor beşiktaş,200 B+,"amedspor beşiktaş güncel, amedspor beşiktaş son dakika",
2026-09-21T10:01:14.517726,elif eralp,2 B+,"elif eralp güncel, elif eralp son dakika",
2026-09-21T10:01:15.018551,adana deprem,5 B+,"adana deprem son dakika, adana deprem güncel",
2026-09-21T10:01:15.519417,fenerbahçe eyüpspor maç özeti,100 B+,"gol fenerbahçe eyüpspor maç özeti, iddaa fenerbahçe eyüpspor maç özeti, özet fenerbahçe eyüpspor maç özeti, fenerbahçe eyüpspor maç özeti güncel, fenerbahçe eyüpspor maç özeti iddaa","canlı fenerbahçe eyüpspor maç özeti haberleri, fenerbahçe eyüpspor maç özeti sonuç son dakika, sonuç fenerbahçe eyüpspor maç özeti haberleri, fenerbahçe eyüpspor maç özeti izle son dakika, izle fenerbahçe eyüpspor maç özeti haberleri"
2026-09-21T10:01:16.019778,presley gerber,500+,"presley gerber güncel, presley gerber son dakika",
2026-09-21T10:01:16.520600,kandilli rasathanesi,1 B+,"kandilli rasathanesi güncel, kandilli rasathanesi son dakika",
2026-09-21T10:01:17.021437,haber,1 B+,"haber güncel, haber son dakika",
2026-09-21T10:01:17.521691,kanal d yayın akışı,200+,"kanal d yayın akışı son dakika, kanal d yayın akışı güncel",
2026-09-21T10:01:18.022703,süper lig puan durumu,20 B+,"süper lig puan durumu güncel, süper lig puan durumu son dakika",
2026-09-21T10:01:18.523362,son depremler,1 B+,"son depremler son dakika, son depremler güncel",
2026-09-21T10:01:19.023905,felipe massa,2 B+,"felipe massa son dakika, felipe massa güncel",
2026-09-21T10:01:19.524750,istiklal marşı,500+,"istiklal marşı son dakika, istiklal marşı güncel",
2026-09-21T10:01:20.025618,drive,200+,"drive güncel, drive son dakika",
2026-09-21T10:01:20.526740,beinsport,5 B+,"beinsport güncel, beinsport son dakika",
