timestamp,query,volume,related_top,related_rising
2026-09-09T08:04:52.808385,real madrid - inter,200 B+,"real madrid - inter son dakika, real madrid - inter güncel",
2026-09-09T08:04:53.309222,şampiyonlar ligi,100 B+,"şampiyonlar ligi güncel, şampiyonlar ligi son dakika",
2026-09-09T08:04:53.809989,sunderland - hull city,20 B+,"sunderland - hull city son dakika, sunderland - hull city güncel",
2026-09-09T08:04:54.310384,yatırımcı,10 B+,"yatırımcı güncel, yatırımcı son dakika",
2026-09-09T08:04:54.811310,real madrid,50 B+,"real madrid son dakika, real madrid güncel",
2026-09-09T08:04:55.312394,porto - manchester city,20 B+,"porto - manchester city güncel, porto - manchester city son dakika",
2026-09-09T08:04:55.813321,yemen,10 B+,"yemen güncel, yemen son dakika",
2026-09-09T08:04:56.313767,anadolu ajansı,10 B+,"anadolu ajansı son dakika, anadolu ajansı güncel",
2026-09-09T08:04:56.815272,yasemin tatlıses,10 B+,"yasemin tatlıses son dakika, yasemin tatlıses güncel",
2026-09-09T08:04:57.316299,çağla öz kaç yaşında,20 B+,"çağla öz kaç yaşında güncel, çağla öz kaç yaşında son dakika",
2026-09-09T08:04:57.817286,sinead jack-kısal,20 B+,"sinead jack-kısal güncel, sinead jack-kısal son dakika",
2026-09-09T08:04:58.317964,ceza,10 B+,"ceza son dakika, ceza güncel",
2026-09-09T08:04:58.818510,tuzlu kahve 2. bölüm,20 B+,"tuzlu kahve 2. bölüm son dakika, tuzlu kahve 2. bölüm güncel",
2026-09-09T08:04:59.319222,astroloji,10 B+,"astroloji son dakika, astroloji güncel",
2026-09-09T08:04:59.820054,haysiyet oyuncuları,20 B+,"haysiyet oyuncuları güncel, haysiyet oyuncuları son dakika",
2026-09-09T19:01:12.205105,meclis üyesi,20 B+,"meclis üyesi güncel, meclis üyesi son dakika",
2026-09-09T19:01:12.705370,real madrid - inter puan durumları,100 B+,"real madrid - inter puan durumları son dakika, real madrid - inter puan durumları güncel",
2026-09-09T19:01:13.206197,gıda,10 B+,"gıda güncel, gıda son dakika",
2026-09-09T19:01:13.706984,kredi,20 B+,"kredi güncel, kredi son dakika",
2026-09-09T19:01:14.207329,haysiyet oyuncuları,20 B+,"haysiyet oyuncuları son dakika, haysiyet oyuncuları güncel",
2026-09-09T19:01:14.708176,gs maçı hangi kanalda,50 B+,"gs maçı hangi kanalda son dakika, gs maçı hangi kanalda güncel",
2026-09-09T19:01:15.209009,yeni parti,20 B+,"yeni parti güncel, yeni parti son dakika",
2026-09-09T19:01:15.709358,zeynep mestan,10 B+,"zeynep mestan son dakika, zeynep mestan güncel",
2026-09-09T19:01:16.210529,akaryakıt zam,10 B+,"akaryakıt zam güncel, akaryakıt zam son dakika",
2026-09-09T19:01:16.711530,levent alpöge,5 B+,"levent alpöge güncel, levent alpöge son dakika",
2026-09-09T19:01:17.212377,şükrü tabaklar,10 B+,"şükrü tabaklar güncel, şükrü tabaklar son dakika",
2026-09-09T19:01:17.713376,apple,10 B+,"apple güncel, apple son dakika",
2026-09-09T19:01:18.214352,rıza çalımbay,2 B+,"rıza çalımbay güncel, rıza çalımbay son dakika",
2026-09-09T19:01:18.715314,konut,2 B+,"konut güncel, konut son dakika",
2026-09-09T19:01:19.216281,domates,5 B+,"domates son dakika, domates güncel",
