timestamp,query,volume,related_top,related_rising
2026-08-07T10:01:13.625728,hradec králové - beşiktaş,500 B+,"hradec králové - beşiktaş güncel, hradec králové - beşiktaş son dakika",
2026-08-07T10:01:14.126483,haber 7,10 B+,"haber 7 güncel, haber 7 son dakika",
2026-08-07T10:01:14.627437,izzet ulvi yönter,10 B+,"izzet ulvi yönter son dakika, izzet ulvi yönter güncel",
2026-08-07T10:01:15.128332,benfica - hearts,10 B+,"benfica - hearts güncel, benfica - hearts son dakika",
2026-08-07T10:01:15.629006,cenk tosun,5 B+,"cenk tosun güncel, cenk tosun son dakika",
2026-08-07T10:01:16.129529,prim,10 B+,"prim son dakika, prim güncel",
2026-08-07T10:01:16.630390,hare sürel,2 B+,"hare sürel güncel, hare sürel son dakika",
2026-08-07T10:01:17.131291,cihan ünal,2 B+,"cihan ünal güncel, cihan ünal son dakika",
2026-08-07T10:01:17.632149,yan diomande,10 B+,"yan diomande güncel, yan diomande son dakika",
2026-08-07T10:01:18.132503,pmyo başvuru 2026,5 B+,"pmyo başvuru 2026 güncel, pmyo başvuru 2026 son dakika",
2026-08-07T10:01:18.633474,dünya altın konseyi,2 B+,"dünya altın konseyi son dakika, dünya altın konseyi güncel",
2026-08-07T10:01:19.134461,benzin indirim,5 B+,"benzin indirim güncel, benzin indirim son dakika",
2026-08-07T10:01:19.635255,özgür erdursun - sosyal güv uzm,5 B+,"özgür erdursun - sosyal güv uzm güncel, özgür erdursun - sosyal güv uzm son dakika",
2026-08-07T10:01:20.136208,bohemians - midtjylland,2 B+,"bohemians - midtjylland güncel, bohemians - midtjylland son dakika",
2026-08-07T10:01:20.637104,behçet oktay,2 B+,"behçet oktay güncel, behçet oktay son dakika",
2026-08-07T21:01:10.724005,haber 7,20 B+,"haber 7 son dakika, haber 7 güncel",
2026-08-07T21:01:11.224617,renato nhaga,10 B+,"renato nhaga güncel, renato nhaga son dakika",
2026-08-07T21:01:11.725456,igor paixão,5 B+,"igor paixão son dakika, igor paixão güncel",
2026-08-07T21:01:12.226559,efe mandıracı,5 B+,"efe mandıracı güncel, efe mandıracı son dakika",
2026-08-07T21:01:12.727608,bundgaard sendromu,10 B+,"bundgaard sendromu güncel, bundgaard sendromu son dakika",
2026-08-07T21:01:13.228402,mahkeme,5 B+,"mahkeme güncel, mahkeme son dakika",
2026-08-07T21:01:13.729246,pmyo başvuru 2026,10 B+,"pmyo başvuru 2026 son dakika, pmyo başvuru 2026 güncel",
2026-08-07T21:01:14.229893,conor gallagher,5 B+,"conor gallagher son dakika, conor gallagher güncel",
2026-08-07T21:01:14.730674,altay bayındır,5 B+,"altay bayındır güncel, altay bayındır son dakika",
2026-08-07T21:01:15.231656,göztepe,2 B+,"göztepe son dakika, göztepe güncel",
2026-08-07T21:01:15.732641,muhtemel aşk 8 bölüm,10 B+,"muhtemel aşk 8 bölüm güncel, muhtemel aşk 8 bölüm son dakika",
2026-08-07T21:01:16.233606,hare sürel,5 B+,"hare sürel güncel, hare sürel son dakika",
2026-08-07T21:01:16.734587,bülent kuşoğlu,2 B+,"bülent kuşoğlu son dakika, bülent kuşoğlu güncel",
2026-08-07T21:01:17.235723,yeni parti seçim anketi,1 B+,"yeni parti seçim anketi son dakika, yeni parti seçim anketi güncel",
2026-08-07T21:01:17.736625,güvenlik,2 B+,"güvenlik güncel, güvenlik son dakika",
2026-08-07T22:01:12.277647,haber 7,50 B+,"haber 7 güncel, haber 7 son dakika",
2026-08-07T22:01:12.778321,renato nhaga,10 B+,"renato nhaga güncel, renato nhaga son dakika",
2026-08-07T22:01:13.279174,efe mandıracı,5 B+,"efe mandıracı güncel, efe mandıracı son dakika",
2026-08-07T22:01:13.780000,igor paixão,10 B+,"igor paixão son dakika, igor paixão güncel",
2026-08-07T22:01:14.280743,bundgaard sendromu,10 B+,"bundgaard sendromu son dakika, bundgaard sendromu güncel",
2026-08-07T22:01:14.781131,boluspor - manisa fk,5 B+,"boluspor - manisa fk güncel, boluspor - manisa fk son dakika",
2026-08-07T22:01:15.281978,mahkeme,5 B+,"mahkeme güncel, mahkeme son dakika",
2026-08-07T22:01:15.782790,conor gallagher,5 B+,"conor gallagher son dakika, conor gallagher güncel",
2026-08-07T22:01:16.283250,altay bayındır,5 B+,"altay bayındır güncel, altay bayındır son dakika",
2026-08-07T22:01:16.784346,göztepe,2 B+,"göztepe güncel, göztepe son dakika",
2026-08-07T22:01:17.285231,muhtemel aşk 8 bölüm,10 B+,"muhtemel aşk 8 bölüm son dakika, muhtemel aşk 8 bölüm güncel",
2026-08-07T22:01:17.786200,pmyo,10 B+,"pmyo son dakika, pmyo güncel",
2026-08-07T22:01:18.287254,lukaku,2 B+,"lukaku son dakika, lukaku güncel",
2026-08-07T22:01:18.788159,umman,1 B+,"umman son dakika, umman güncel",
2026-08-07T22:01:19.289551,cuma hutbesi konusu,5 B+,"cuma hutbesi konusu mesaj, resimli cuma hutbesi konusu, mesaj cuma hutbesi konusu, cuma hutbesi konusu kutlama, kutlama cuma hutbesi konusu","dua cuma hutbesi konusu haberleri, cuma hutbesi konusu hutbe son dakika, hutbe cuma hutbesi konusu haberleri, cuma hutbesi konusu dua son dakika"
2026-08-07T23:01:11.220381,haber 7,50 B+,"haber 7 güncel, haber 7 son dakika",
2026-08-07T23:01:11.721109,renato nhaga,10 B+,"renato nhaga güncel, renato nhaga son dakika",
2026-08-07T23:01:12.221952,efe mandıracı,10 B+,"efe mandıracı güncel, efe mandıracı son dakika",
2026-08-07T23:01:12.722755,igor paixão,10 B+,"igor paixão son dakika, igor paixão güncel",
2026-08-07T23:01:13.223162,boluspor - manisa fk,5 B+,"boluspor - manisa fk son dakika, boluspor - manisa fk güncel",
2026-08-07T23:01:13.724050,bundgaard sendromu,10 B+,"bundgaard sendromu son dakika, bundgaard sendromu güncel",
2026-08-07T23:01:14.225062,mahkeme,5 B+,"mahkeme güncel, mahkeme son dakika",
2026-08-07T23:01:14.726245,lukaku,2 B+,"lukaku güncel, lukaku son dakika",
2026-08-07T23:01:15.227185,altay bayındır,5 B+,"altay bayındır güncel, altay bayındır son dakika",
2026-08-07T23:01:15.728249,muhtemel aşk 8 bölüm,10 B+,"muhtemel aşk 8 bölüm güncel, muhtemel aşk 8 bölüm son dakika",
2026-08-07T23:01:16.229247,umman,2 B+,"umman güncel, umman son dakika",
2026-08-07T23:01:16.730185,göztepe,5 B+,"göztepe güncel, göztepe son dakika",
2026-08-07T23:01:17.231145,tasarruf,2 B+,"tasarruf güncel, tasarruf son dakika",
2026-08-07T23:01:17.732215,conor gallagher,5 B+,"conor gallagher son dakika, conor gallagher güncel",
2026-08-07T23:01:18.233092,bebek,2 B+,"bebek güncel, bebek son dakika",
